༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
ལུས་འདི་གཅིག་པུ་བྱུང་བ་ཡང་།། ལྷན་ཅིག་སྐྱེས་པའི་ཤ་རུས་དག། ཞིག་སྟེ་སོ་སོར་གྱེས་འགྱུར་ན།། མཛའ་བ་གཞན་དག་ཅི་ཞིག་སྨོས།།	This body, now so whole and integral, This flesh and bone that life has knit together, Will drift apart, disintegrate, And how much more will friend depart from friend?
སྐྱེ་ན་གཅིག་པུ་སྐྱེ་འགྱུར་ཞིང་།། འཆི་ནའང་དེ་ཉིད་གཅིག་འཆི་སྟེ།།	Alone we’re born, alone we come into the world, And when we die, alone we pass away.
སྡུག་བསྔལ་སྐལ་གཞན་མི་ལེན་ན།།	No one shares our fate, and none our suffering.
གེགས་བྱེད་མཛའ་བས་ཅི་ཞིག་བྱ།།	What need have I of “friends” who hinder me?
ལམ་དག་ཏུ་ནི་ཞུགས་པ་རྣམས།། ཇི་ལྟར་གནས་ནི་འཛིན་བྱེད་ལྟར།། དེ་བཞིན་སྲིད་པའི་ལམ་ཞུགས་པའམ།། སྐྱེ་བའི་གནས་ནི་ཡོངས་སུ་འཛིན།།	Like those who journey on the road, Who pause and lodge along the way, Beings on the pathways of existence Seize upon the lodging of their birth.
འཇིག་རྟེན་ཀུན་ནས་གདུང་བཞིན་དུ།། ཇི་སྲིད་སྐྱེས་བུ་བཞི་ཡིས་ནི།། དེ་ལུས་དེ་ནི་མ་བཏེགས་པ།། དེ་སྲིད་དུ་ནི་ནགས་སུ་སོང་།།	Until the time comes round When four men carry me away, Amid the grief of worldly folk— Till then, I will away and go into the forest.
བཤེས་མེད་འཁོན་པའང་མེད་བྱས་ནས།། ལུས་འདི་གཅིག་པུ་དབེན་གནས་ཏེ།། སྔ་ནས་ཤི་དང་འདྲར་བརྩིས་ན།། ཤི་ནའང་མྱ་ངན་བྱེད་པ་མེད།།	There, with no befriending or begrudging, I will stay alone in solitude, Considered from the outset as already dead, Thus, when I die, a source of pain to none.
དྲུང་ན་འཁོད་པ་སུ་དག་ཀྱང་།། མྱ་ངན་གནོད་པ་བྱེད་མེད་པས།།	Then there will be no one standing by In tears and mourning, thus to trouble me.
འདི་ཡིས་སངས་རྒྱས་རྗེས་དྲན་སོགས།། སུས་ཀྱང་གཡེང་བར་འགྱུར་བ་མེད།།	And no one will be there distracting me From thinking of the Buddha and the practice.
དེ་བས་ཤིན་ཏུ་མདངས་དགའ་བའི།། ནགས་ཚལ་ཚེགས་ཆུང་བདེ་སྐྱིད་ཅིང་།། གཡེང་བ་ཐམས་ཅད་ཞི་བྱེད་པར།། བདག་ཉིད་གཅིག་པུ་གནས་པར་བྱ།།	Therefore in these lovely gleaming woods, With joy that’s marred by few concerns, Where mental wandering will cease, I will remain in blissful solitude.
བསམ་པ་གཞན་ནི་ཀུན་བཏང་སྟེ།། བདག་ལ་སེམས་པ་གཅིག་པུ་ཡིས།། སེམས་ནི་མཉམ་པར་བཞག་ཕྱིར་དང་།། དུལ་བར་བྱ་ཕྱིར་བརྩོན་པར་བྱ།།	Relinquishing all other aspirations, Focusing myself on one intent alone, I’ll strive to still my mind And, calming it, to bring it to subjection.
འཇིག་རྟེན་འདི་དང་ཕ་རོལ་ཏུའང་།། འདོད་པ་རྣམས་ནི་ཕུང་ཁྲོལ་བསྐྱེད།། འདིར་ནི་བསད་དང་བཅིང་དང་གཅོད།། ཕ་རོལ་ཏུ་ནི་དམྱལ་སོགས་སྒྲུབ།།	In this and in the worlds to come, Desire’s the parent of all woe: In this world, killing, bonds, and wounds, And in the next, the hells and other pains.
ཕོ་ཉ་ཕོ་ཉ་མོ་ཡིས་སྔོན།། སྡིག་པ་རྣམས་སམ་གྲགས་མིན་ལའང་།། གང་གི་དོན་དུ་མ་འཛེམས་པར།། འཇིགས་པ་ལ་ཡང་བདག་ཞུགས་ཤིང་།། རྫས་ཀྱང་ཟད་པར་བྱས་གྱུར་ཏེ།། གང་ལ་ཡོངས་སུ་འཁྱུད་པས་ན།།	You send your go-betweens, both boy and maid, With many invitations for the prize, Avoiding, in the quest, no sin, No deed that brings an ill renown, Nor acts of frightful risk, Nor loss and ruin of possessions—
མཆོག་ཏུ་དགའ་འགྱུར་དེ་དག་ཉིད།། ཀེང་རུས་ཉིད་ཡིན་གཞན་མིན་ན།། རང་དབང་དང་ནི་བདག་མིན་ལ།། རབ་ཏུ་འདོད་ཅིང་ཡོངས་ཞེན་ནས།།	All for pleasure and the perfect bliss, That utmost penetrating kiss Of what in truth is nothing but a heap of bones Devoid of self, without autonomy!Is this the only object of desire and lust?
ཅི་ཕྱིར་མྱ་ངན་འདས་མི་འགྲོ།།	Sooner pass beyond all suffering and grief!
གང་ཞིག་དང་པོ་འབད་དེ་བཏེགས།། དྲངས་ཀྱང་ངོ་ཚས་འོག་ཏུ་བལྟ།། སྔོན་ནི་མཐོང་ངམ་མ་མཐོང་ཡང་།། གོས་ཀྱིས་གདོང་ནི་གཡོགས་པར་འགྱུར།།	What pains you went to just to lift her face, Her face that modestly looked down, Which, looked upon or not before, Was always with a veil concealed.
ཁྱོད་ཉོན་མོངས་པའི་གདོང་དེ་ནི།། ད་ལྟ་མངོན་སུམ་གྱུར་པ་བཞིན།།	That face for which you languished so Well, here it is, now nakedly exposed.
བྱ་རྒོད་ཀྱིས་བསལ་བྱས་མཐོང་ནས།།	The vultures have uncovered it for you to see.
ད་ལྟ་ཅི་ཕྱིར་འབྱེར་བར་བྱེད།།	What’s this? You run away so soon?
གཞན་རྣམས་མིག་གིས་ལྟ་ན་ཡང་།། གང་ཞིག་ཡོངས་སུ་བསྲུངས་གྱུར་པ།། ཇི་སྲིད་དེ་ནི་དེས་ཟ་ན།། སེར་སྣ་ཅན་ཁྱོད་ཅིས་མི་བསྲུང་།།	That which once you jealously protected, Shielded from the eyes of other men, Why, miser that you are, don’t you protect it, Now that it’s the food of graveyard birds?
ཤ་ཡི་ཕུང་པོ་འདི་མཐོང་ནས།། བྱ་རྒོད་དང་གཞན་ཟ་བྱེད་ན།། གཞན་གྱི་ཟས་ལ་མེ་ཏོག་གི། ཕྲེང་བ་ཙནྡན་རྒྱན་གྱིས་མཆོད།།	Look, this mass of human flesh, Is now the fare of carrion beasts— And you would deck with garlands, sandalwood, and jewels, The food and provender of others?
རུས་གོང་ཉིད་དུ་མཐོང་ནས་ནི།།	Look again, this heap of bones— Inert and dead.
མི་འགུལ་ཡང་དེ་ཁྱོད་སྐྲག་ན།།	Why, what are you so scared of?
རོ་ལངས་བཞིན་དུ་འགའ་ཡིས་ཀྱང་།། བསྐྱོད་པར་གྱུར་ན་ཅིས་མི་འཇིགས།།	Why did you not fear it when it walked around, Just like a risen corpse propelled by some strange influence?
གང་ལ་གཡོགས་ཀྱང་འདི་ཆགས་པ།།	You loved it once, when clothed and draped it was.
དེ་མ་གཡོགས་ན་ཅིས་མི་འདོད།།	Well, now it’s naked, why do you not want it?
དེ་ལ་དགོས་པ་མེད་ན་ནི།། གཡོགས་པ་ལ་ནི་ཅི་ཕྱིར་འཁྱུད།།	Ah, you say, your need is no more there, But why did you embrace it, all bedecked and covered?
ཟས་ནི་གཅིག་པུ་ཉིད་ལས་ནི།། བཤང་དང་ཁ་ཆུ་བྱུང་གྱུར་ན།།	From food, a single source, come equally The body’s filth and nectar of the mouth.
དེ་ལས་བཤང་ལ་མི་དགའ་ཞིང་།། ཁ་ཆུ་ལ་ཁྱོད་ཅི་ཕྱིར་དགའ།།	So why are you delighted by saliva, And yet repelled by excrement?
ཤིང་བལ་རེག་ན་འཇམ་པ་ཡི།། སྔས་ལ་དགའ་བར་མི་བྱེད་པར།། དྲི་ང་འཛག་པ་མ་ཡིན་ཞེས།།	Taking no delight in pillows Made of cotton soft to touch, You claim the human form emits no stench.
འདོད་ལྡན་མི་གཙང་བ་ལ་རྨོངས།།	Befooled by lust, its filth you do not recognize!
འདོད་ལྡན་ངན་པ་རྨོངས་པ་རྣམས།། ཤིང་བལ་རེག་ན་འཇམ་པ་ལའང་།། ཉལ་པོ་བྱ་བར་མི་ནུས་ཞེས།། དེ་ལ་ཁྲོ་བ་དག་ཏུ་བྱེད།།	Lustful one, befuddled by desire, Because you cannot copulate with it, You angrily find fault with cotton, Soft though it may be to touch!
གལ་ཏེ་མི་གཙང་ཆགས་མེད་ན།། རུས་གཟེབ་རྒྱུས་པས་སྦྲེལ་བ་ལ།། ཤ་ཡི་འདམ་གྱིས་ཞལ་ཞལ་བྱས།། གཞན་ཁྱོད་ཅི་ཕྱིར་པང་དུ་འཁྱུད།།	And if you have no love of filth, How can you coddle on your lap A cage of bones tied fast with sinews, Plastered over with the mud of flesh?
ཁྱོད་ཉིད་མི་གཙང་མང་ཡོད་པ།། དེ་ཉིད་ལ་ཁྱོད་གཏན་སྤྱོད་ཅིང་།།	In fact you’re full of filth yourself; You wallow in it constantly.
